elapsed,Round,ntree,nbins,nbins_cats,max_depth,min_rows,max_after_balance_size,sample_rate,col_sample_rate_per_tree,Value
559.48,58,51.0000,42.0000,7.0000,6.0000,%#4.0-1e,1.0145,0.7952,0.5124,0.9252
885.71,59,46.0000,37.0000,7.0000,7.0000,%#4.0-1e,1.9973,0.6505,0.7091,0.9188
382.12,60,90.0000,49.0000,4.0000,14.0000,%#4.0-1e,1.1798,0.6263,0.6024,0.7505
341.79,61,50.0000,43.0000,7.0000,6.0000,%#4.0-1e,4.2527,0.9451,0.5709,0.5000
356.29,62,78.0000,17.0000,7.0000,12.0000,%#4.0-1e,4.8832,0.5939,0.6182,0.5000
576.85,63,43.0000,35.0000,7.0000,18.0000,%#4.0-1e,4.7026,0.5587,0.6275,0.9069
216.92,64,52.0000,35.0000,8.0000,6.0000,%#4.0-1e,0.7265,0.8674,0.7489,0.5000
1058.59,65,30.0000,40.0000,8.0000,19.0000,%#4.0-1e,4.2773,0.5939,0.5433,0.9314
343.70,66,53.0000,78.0000,6.0000,11.0000,%#4.0-1e,4.5142,0.6640,0.7020,0.5000
1116.19,67,55.0000,6.0000,7.0000,19.0000,%#4.0-1e,4.6013,0.6487,0.7322,0.9315
351.12,68,40.0000,33.0000,8.0000,4.0000,%#4.0-1e,4.2099,0.6390,0.6179,0.5000
357.54,69,27.0000,31.0000,7.0000,15.0000,%#4.0-1e,4.0873,0.5611,0.6456,0.5000
550.31,70,65.0000,23.0000,7.0000,11.0000,%#4.0-1e,3.0190,0.7098,0.5981,0.9259
